ID,Category,Question,Choice1,Choice2,Choice3,Choice4,Explanation
35,相続,配偶者と子が相続人である場合の法定相続分として正しいものはどれ？,配偶者2分の1で子2分の1,配偶者3分の2で子3分の1,配偶者4分の3で子4分の1,配偶者1で子0,配偶者と子が相続人の場合は配偶者が2分の1で子が2分の1です。
36,タックスプランニング,所得税の課税方式として正しいものはどれ？,超過累進税率,比例税率,定額税率,逆進税率,所得税は課税所得が増えるほど税率が高くなる超過累進税率です。
37,金融資産運用,分散投資の主な目的として正しいものはどれ？,リスクを低減する,必ず利益を増やす,元本を法律上保証する,手数料を必ず下げる,分散投資は価格変動リスクを抑えることを目的とします。
38,リスク管理,地震保険について正しいものはどれ？,地震保険は火災保険なしで単独加入できない,地震保険は保険期間が必ず1年である,地震保険はどの損害でも時価を超えて支払われる,地震保険はすべての建物で補償内容が自由に決められる,地震保険は原則として火災保険に付帯する形で加入します。
39,ライフプランニング,傷病手当金について正しいものはどれ？,業務外の病気やけがで働けないときに支給される,業務上の病気やけがのみ支給される,退職後は一切受け取れない,支給は必ず賃金の全額である,傷病手当金は業務外の病気やけがで就労できない場合に健康保険から支給されます。
40,タックスプランニング,確定申告の申告期限として原則正しいものはどれ？,翌年3月15日,翌年2月15日,当年12月31日,翌年4月30日,所得税の確定申告は原則として翌年3月15日が期限です。
41,相続,相続の承認に関する説明として正しいものはどれ？,相続放棄は原則として自己のために相続開始を知った時から3か月以内に家庭裁判所へ申述する,相続放棄は相続開始からいつでも自由にできる,相続放棄は口頭で相続人全員に伝えれば成立する,相続放棄は被相続人の生前に必ず行う,相続放棄は原則として相続開始を知った時から3か月以内に家庭裁判所へ申述します。
42,不動産,不動産登記に関する説明として正しいものはどれ？,所有権移転登記は第三者に対抗するために重要である,登記をしなくても第三者に常に対抗できる,登記簿の記載はすべて現況と必ず一致する,登記は市区町村役場で行う,登記は第三者に権利を主張（対抗）するために重要な役割を持ちます。
43,金融資産運用,株式の配当金に関する説明として正しいものはどれ？,配当金は原則として会社の利益処分により支払われる,配当金は必ず毎月支払われる,配当金は株価が上がったときだけ支払われる,配当金は国が保証する,配当金は会社の利益や剰余金の配分（利益処分等）として支払われます。
44,タックスプランニング,給与所得控除に関する説明として正しいものはどれ？,給与所得者の必要経費の代わりとして一定額を控除する,給与所得者は実額経費を必ず全額控除できる,給与所得控除は事業所得者だけが使える,給与所得控除は住民税には一切影響しない,給与所得控除は給与所得者の概算経費として所得から控除されます。
45,ライフプランニング,厚生年金保険の被保険者区分として正しいものはどれ？,会社員や公務員などが加入する,自営業者のみが加入する,20歳以上の全国民が必ず単独で加入する,学生のみが加入する,厚生年金は主に会社員や公務員などが加入する年金制度です。
46,リスク管理,自動車保険の対人賠償保険に関する説明として正しいものはどれ？,他人を死傷させた損害賠償を補償する,自分の車の修理費のみを補償する,自分のけがのみを補償する,地震による車両損害を必ず補償する,対人賠償保険は他人の死傷に対する損害賠償責任を補償します。
47,金融資産運用,債券投資の価格変動要因として正しいものはどれ？,市場金利が上昇すると一般に債券価格は下落する,市場金利が上昇すると一般に債券価格は上昇する,市場金利と債券価格は無関係である,債券価格は発行時以外変動しない,債券価格は金利と逆方向に動く関係が基本です。
48,不動産,借地借家法に関する説明として正しいものはどれ？,建物賃貸借は借主保護の規定がある,建物賃貸借は常に貸主の意思だけで更新拒絶できる,借地借家法は土地の売買だけを規定する,借地借家法は住宅ローンを規定する,借地借家法は賃借人（借主）保護の考え方が強い法律です。
49,タックスプランニング,住民税の所得割に関する説明として正しいものはどれ？,前年の所得を基準に課税される,当年の所得を基準に毎月確定する,相続財産だけを基準に課税される,納税者が任意に税率を決められる,住民税の所得割は原則として前年の所得を基準に計算されます。
50,ライフプランニング,老齢基礎年金の受給開始年齢として原則正しいものはどれ？,65歳,60歳,70歳,62歳,老齢基礎年金は原則として65歳から受給開始です。
51,相続,死亡保険金の相続税の非課税枠は？,500万円×法定相続人数,3000万円＋600万円×法定相続人数,500万円×受取人の人数,一律500万円,死亡保険金には相続税の非課税枠として500万円×法定相続人数がある。
52,相続,法定相続人が配偶者と子2人の場合の法定相続分は？,配偶者2分の1で子は各4分の1,配偶者3分の2で子は各6分の1,配偶者4分の3で子は各8分の1,配偶者2分の1で子は各2分の1,配偶者と子が相続人のときは配偶者2分の1で残りを子で等分する。
53,ライフプランニング,キャッシュフロー表で示すものは？,一定期間の収入支出と貯蓄残高の推移,保険商品の保障内容の一覧,資産配分比率の一覧,税率と税額の一覧,将来の家計の収入支出と資金残高の見通しを時系列で示す。
54,リスク管理,定期保険の一般的な特徴は？,保険期間が一定で満期保険金はない,一生涯保障が続く,解約返戻金が必ず多い,貯蓄性が最も高い,定期保険は一定期間の保障に特化し満期保険金がないのが一般的。
55,金融資産運用,市場金利が上昇したとき一般に債券価格はどうなる？,下落する,上昇する,変わらない,必ず額面に戻る,金利上昇局面では既発債の利回りが相対的に低くなるため価格は下落しやすい。
56,金融資産運用,投資信託の基準価額の考え方として正しいものは？,純資産総額を総口数で割ったもの,運用会社の利益を足したもの,購入時の価格を固定したもの,分配金の合計額,基準価額は投資信託の純資産総額を受益権口数で割って算出する。
57,不動産,不動産登記の一般的な性質として正しいものは？,公信力はない,公信力がある,登記がなくても第三者に対抗できる,登記簿は私文書である,不動産登記には公信力がなく真の権利関係を必ず保証するものではない。
58,不動産,元利均等返済の一般的な特徴は？,毎回の返済額が一定,毎回の元金返済額が一定,返済初期は元金割合が高い,総返済額は必ず少ない,元利均等は返済額が一定で初期は利息割合が大きく元金の減りが遅い。
59,タックスプランニング,所得控除と税額控除の違いとして正しいものは？,所得控除は課税所得を減らし税額控除は税額を直接減らす,所得控除は税額を直接減らし税額控除は課税所得を減らす,どちらも税額を直接減らす,どちらも課税所得を増やす,所得控除は税率をかける前の所得を減らし税額控除は計算後の税額を減らす。
60,タックスプランニング,総合課税の対象となる所得として一般的に該当するものは？,給与所得,譲渡所得のうち株式等の譲渡所得,利子所得,退職所得,給与所得は総合課税の代表例として他の所得と合算して税額計算する。
61,相続,相続税の課税価格に加算される生前贈与の対象期間は原則何年？,3年,5年,7年,10年,相続開始前に行われた贈与のうち一定期間内の贈与は相続税の計算上で持ち戻して課税価格に加算します。FP3の基本ルールでは原則として相続開始前3年以内の贈与が対象です。対象となる贈与がある場合は受贈者が相続人かどうかなど細部の論点が出ますがまずは3年が基準である点を押さえます。
62,相続,法定相続人が配偶者と子2人の場合の法定相続分は？,配偶者2分の1と子は各4分の1,配偶者3分の2と子は各6分の1,配偶者4分の3と子は各8分の1,配偶者2分の1と子は各3分の1,相続人が配偶者と子の場合は配偶者が2分の1で子全体が2分の1です。子が複数いるときは子の取り分を人数で等分します。したがって子2人なら子の合計2分の1を2人で分けて各4分の1になります。計算は配偶者と子の基本パターンとして頻出です。
63,保険,生命保険契約で契約者と被保険者が同一で受取人が相続人の場合に相続税となるのはどれ？,死亡保険金,満期保険金,解約返戻金,医療給付金,契約者が保険料を負担し被保険者が死亡したことで支払われる死亡保険金は相続税の課税対象になります。理由は被保険者の死亡を原因として相続人等が受け取る経済的利益だからです。満期保険金や解約返戻金は生存中の給付で所得税等の論点になりやすく税目の切り分けが重要です。
64,保険,損害保険の保険料を個人が支払った場合に一般に必要経費になるのはどれ？,事業用資産にかけた火災保険料,自宅にかけた火災保険料,自家用車の任意保険料,旅行保険料,個人事業主は事業に直接必要な支出を必要経費にできます。事業用の建物や設備など事業用資産にかけた火災保険料は事業に必要な支出として必要経費に該当します。一方で自宅や自家用車など私用部分の保険料は家事費となり原則として必要経費になりません。
65,不動産,不動産登記で所有権移転登記の登録免許税の税率は原則いくら？,固定資産税評価額の1000分の20,固定資産税評価額の1000分の10,固定資産税評価額の100分の2,固定資産税評価額の100分の1,登録免許税は登記の種類ごとに税率が定められています。所有権移転登記の原則税率は固定資産税評価額の2％であり1000分の20に相当します。住宅用などで軽減措置がある場合もありますがまずは原則の2％を基準として覚えます。
66,金融資産運用,利回りと利率の違いとして正しいのはどれ？,利回りは購入価格も考慮し利率は額面や元本に対する割合,利回りは額面に対する割合で利率は購入価格に対する割合,利回りも利率も常に同じ意味,利回りは税引後のみを指し利率は税引前のみを指す,利率は額面金額や預入元本に対して受け取る利息の割合を示す用語です。一方で利回りは実際に投資した金額に対してどれだけの収益が得られたかを示す概念で購入価格や運用期間などの影響を反映します。債券を額面より高く買った場合などは利率が高く見えても実質の利回りは低下するため両者の違いを押さえます。
67,タックスプランニング,給与所得控除はどの所得区分の計算で用いる？,給与所得,事業所得,不動産所得,一時所得,給与所得は収入金額から給与所得控除を差し引いて計算します。給与所得控除は給与所得者の必要経費に代わる概算控除として位置付けられています。事業所得や不動産所得は実際の必要経費を計上するため給与所得控除は使いません。所得区分ごとの計算式の違いは基礎論点です。
68,年金,国民年金の第1号被保険者に該当するのはどれ？,自営業者や学生などで第2号第3号以外,会社員,会社員に扶養される配偶者,公務員,国民年金の被保険者は第1号から第3号に区分されます。第1号は自営業者や学生などで厚生年金等に加入する第2号でも第2号に扶養される第3号でもない人です。会社員や公務員は第2号でありその被扶養配偶者が第3号です。区分を誤ると保険料負担や給付の理解がずれます。
69,ライフプランニング,キャッシュフロー表で一般に収入から差し引いて算出する可処分所得は何を控除する？,税金と社会保険料,住居費と教育費,食費と保険料,貯蓄額のみ,可処分所得は手取りとして使えるお金の考え方で総収入から税金と社会保険料を差し引いて求めます。住居費や食費などの生活費は可処分所得をどのように配分するかの支出側で扱います。キャッシュフロー表ではまず手取りを把握してから各費目に配分する流れになります。
70,リスク管理,地震保険は単独で加入できる？,火災保険とセットで加入する,地震保険のみで加入できる,自動車保険に付帯して加入する,傷害保険に付帯して加入する,地震保険は原則として火災保険に付帯して契約します。地震による火災や損壊は火災保険だけでは補償されないため地震保険でカバーしますが地震保険単独契約はできません。試験では単独加入の可否と火災保険の補償対象外である点をセットで問われやすいです。
71,相続,死亡保険金の非課税限度額は？,500万円×法定相続人数,300万円×法定相続人数,一律500万円,相続財産の10％まで,相続で受け取る死亡保険金は一定額まで相続税がかからない。非課税枠は法定相続人数に比例して増え「500万円×法定相続人数」。相続人が多いほど非課税枠が大きくなる点が重要。
72,保険,医療保険の入院給付金は所得税の課税対象？,原則として非課税,給与所得として課税,一時所得として課税,雑所得として課税,病気やけがにより支払われる入院給付金などは生活補填の性格が強く原則として非課税。保険金が課税になるのは満期保険金や解約返戻金など資産の増加に近い性格のものが中心で入院給付金とは区別する。
73,不動産,重要事項説明を行い記名するのは原則として誰？,宅地建物取引士,不動産鑑定士,司法書士,管理業務主任者,売買や賃貸の契約前に行う重要事項説明は宅地建物取引士が行うのが原則。説明をした取引士は重要事項説明書に記名する。無資格者が単独で説明することはできない点を押さえる。
74,金融資産運用,複利運用で利息が付く対象は？,元金とこれまでの利息の合計,元金のみ,利息のみ,手数料のみ,複利は利息が元金に組み入れられ次期以降は元金と利息の合計に対して利息が付く仕組み。運用期間が長いほど利息に利息が付く効果が大きくなり単利との差が広がる。
75,タックスプランニング,医療費控除で合算できる医療費の範囲は？,生計を一にする配偶者や親族分も合算できる,本人分のみ合算できる,同居している親族分だけ合算できる,扶養親族分は一切合算できない,医療費控除は世帯の医療費負担を軽くする制度。納税者本人だけでなく生計を一にする配偶者や親族の医療費もまとめて計算できる。誰が支払ったかより生計が同一かどうかがポイント。
76,年金,老齢厚生年金の受給開始年齢の原則は？,65歳,60歳,62歳,70歳,老齢厚生年金は原則65歳から受給開始。繰上げや繰下げで開始時期を変えることはできるが基本のスタートは65歳。試験では原則と例外を分けて覚える。
77,ライフプランニング,ライフイベント表で整理する主な内容は？,将来の出来事の時期と必要資金,毎月の家計簿の支出明細,保有資産の時価評価額のみ,税金の計算結果のみ,ライフイベント表は結婚や住宅購入や子の進学など将来の出来事を時系列で並べ必要となる資金を把握するための表。キャッシュフロー表の前段としてイベントと資金の見通しを立てる目的で使う。
78,リスク管理,自賠責保険が補償するのはどれ？,対人賠償,対物賠償,車両損害,運転者の傷害,自賠責は自動車事故の被害者救済のための強制保険。補償は相手のけがや死亡など対人に限定され対物や自分の車の損害は対象外。任意保険で不足部分や対物をカバーする。
79,相続,相続放棄の申述期限はいつまで？,自己のために相続開始を知った時から3か月以内,相続開始から1年以内,死亡日から30日以内,遺産分割協議が終わるまで,相続放棄は無条件にいつでもできるわけではない。原則として自己のために相続が開始したことを知った時から3か月以内に家庭裁判所へ申述する。期限を過ぎると単純承認とみなされるリスクがある。
80,リスク管理,労災保険の保険料を負担するのは原則として誰？,事業主が全額負担,労働者が全額負担,事業主と労働者が折半,国が全額負担,労災保険は業務上や通勤による災害に備える制度で保険料は原則として事業主が全額負担。労働者の給与天引きではない。社会保険の中でも負担の仕組みが特徴的なので押さえる。
81,相続,遺留分が認められないのは誰？,兄弟姉妹,配偶者,子,直系尊属,遺留分は一定の相続人に最低限保障される取り分で配偶者と子と直系尊属が対象。兄弟姉妹は法定相続人になり得るが遺留分権利者ではないため遺言で取り分がゼロでも遺留分侵害額請求はできない。
82,保険,生命保険料控除の区分として正しい組合せは？,一般生命保険料控除と介護医療保険料控除と個人年金保険料控除,一般生命保険料控除と損害保険料控除と地震保険料控除,介護医療保険料控除と火災保険料控除と自動車保険料控除,個人年金保険料控除と社会保険料控除と小規模企業共済等掛金控除,生命保険料控除は生命保険関連を三つに区分して計算する。一般生命と介護医療と個人年金がそれぞれ独立した控除枠として扱われ上限計算も区分ごとに行う。損害保険や地震保険は別の控除なので混同しない。
83,不動産,抵当権設定登記の申請の原則は？,登記権利者と登記義務者の共同申請,登記権利者の単独申請,登記義務者の単独申請,司法書士の単独申請,不動産登記は取引当事者双方の意思を反映させるため原則として共同申請。抵当権設定では金融機関などが登記権利者で所有者が登記義務者となり両者で申請する。例外として単独申請が認められる場合もあるがまず原則を押さえる。
84,金融資産運用,配当利回りの計算式として正しいのは？,1株当たり配当金÷株価×100,株価÷1株当たり配当金×100,1株当たり利益÷株価×100,株価÷1株当たり利益×100,配当利回りは株価に対してどれだけ配当を受け取れるかを示す指標。分子は1株当たり配当金で分母は株価。株価が同じなら配当が大きいほど利回りは高く株価が上がれば同じ配当でも利回りは低下する。
85,タックスプランニング,住宅ローン控除は原則としてどの税額から控除される？,所得税額,相続税額,法人税額,消費税額,住宅ローン控除は一定の要件を満たす住宅取得で年末の借入金残高などに基づき税額控除を行う制度。基本は所得税額から直接差し引く税額控除であり所得控除ではない点が重要。所得税で控除しきれない場合に住民税へ一部影響するケースがあるがまず原則は所得税。
86,年金,国民年金の第1号被保険者に該当するのは？,自営業者や学生など第2号第3号に該当しない20歳以上60歳未満の人,会社員など厚生年金の加入者,会社員に扶養されている20歳以上60歳未満の配偶者,65歳以上で老齢基礎年金を受給している人,国民年金は加入区分で第1号から第3号に分かれる。第1号は自営業や学生などで第2号の会社員等でも第3号の被扶養配偶者でもない人。誰が保険料を納めるかや手続きが区分で変わるため区分判定が基礎になる。
87,ライフプランニング,キャッシュフロー表で把握する主な内容は？,一定期間の収入と支出と貯蓄残高の推移,家計簿の科目別支出の内訳のみ,保有資産の時価評価額のみ,保険商品の保障内容のみ,キャッシュフロー表は将来の家計の姿を年単位で見える化する表。収入と支出を並べ収支差額を積み上げて貯蓄残高がどう増減するかを確認する。ライフイベント表で整理した出来事を反映し資金不足の時期を早期に把握する目的がある。
88,リスク管理,雇用保険の保険料負担の原則は？,事業主と労働者の双方が負担する,事業主が全額負担する,労働者が全額負担する,国が全額負担する,雇用保険は失業等給付や育児休業給付などに備える制度で保険料は原則として事業主と労働者が負担する。労災保険は事業主全額負担という対比が頻出なので両者の違いをセットで整理すると混乱しにくい。
89,住宅ローン,元利均等返済の特徴として正しいのは？,毎回の返済額が一定だが返済当初は利息の割合が大きい,毎回の元金返済額が一定で返済当初の返済額が最も小さい,返済期間中ずっと利息が発生しない,繰上返済は一切できない,元利均等返済は元金と利息を合わせた返済額が基本的に一定になる方式。そのため返済初期は残高が多く利息が大きいので返済額の中で利息部分が占める割合が高く元金の減りが遅い。後半になるほど利息が減って元金返済が進む。
90,金融資産運用,投資信託の基準価額の基本的な算出方法は？,純資産総額÷総口数,総口数÷純資産総額,購入時手数料÷総口数,分配金÷信託報酬,基準価額は投資信託の一口当たりの価値を表す指標。保有している株式や債券などの時価を反映した純資産総額を総口数で割って算出する。分配金や手数料は基準価額に影響し得るが算式の基本は純資産総額と口数の関係として理解する。
91,相続,配偶者と子2人が相続人の場合の法定相続分は？,配偶者1/2・子は合計1/2（子は各1/4）,配偶者2/3・子は合計1/3（子は各1/6）,配偶者1/3・子は合計2/3（子は各1/3）,配偶者1/4・子は合計3/4（子は各3/8）,法定相続分は相続人の組合せで定型的に決まる。配偶者と子が相続人の場合は、配偶者が1/2、子が残りの1/2を人数で等分する。子が2人なら1/2を2等分するため各1/4となる。養子や実子などの別なく「子」として同順位で数えるのが基本。
92,保険,契約者＝夫・被保険者＝夫・受取人＝妻の死亡保険金にかかる税金は原則どれ？,相続税,所得税,贈与税,消費税,生命保険金の課税は「誰が保険料を負担したか（契約者）」と「誰が受け取るか（受取人）」で判定する。契約者と被保険者が同一（夫）で、受取人が相続人（妻）の場合は、夫の死亡により保険金が支払われるため相続により取得した財産と同様に扱われ、原則として相続税の対象となる。
93,不動産,固定資産税の納税義務者は原則として誰？,賦課期日（1月1日）現在の所有者,売買契約を締結した買主,実際に居住している使用者,自治体が指定する管理会社,固定資産税は毎年の賦課期日（原則1月1日）における所有者に課税される。年の途中で売買があっても、法律上の納税義務者は原則として賦課期日現在の所有者で決まる。実務で当事者間精算を行うことはあるが、税の「義務者」とは別概念である点が重要。
94,金融資産運用,PER（株価収益率）の計算式として正しいのは？,株価÷1株当たり利益（EPS）,1株当たり利益（EPS）÷株価,株価÷1株当たり配当金,1株当たり配当金÷株価,PERは「利益に対して株価が何倍か」を示す指標で、株価を1株当たり利益（EPS）で割って求める。数値が大きいほど市場が将来成長を見込んでいるなどの解釈があるが、業種や景気局面で水準は異なるため単独での絶対評価ではなく比較・補助指標として用いる。
95,タックスプランニング,医療費控除は所得税の計算上どの区分に当たる？,所得控除,税額控除,損益通算,源泉分離課税,医療費控除は課税所得を計算する段階で所得から差し引く「所得控除」に分類される。控除により課税所得が下がることで税額が減る仕組みで、税額から直接差し引く「税額控除」とは手順が異なる。どの段階で効く制度かを区別できると、確定申告での整理がしやすくなる。
96,年金,老齢基礎年金の受給資格期間は原則として何年以上？,10年以上,20年以上,25年以上,40年以上,老齢基礎年金は保険料を納めた期間や免除期間などの合算で受給資格期間を満たす必要がある。原則として10年以上の資格期間が必要で、満たさない場合は年金請求ができない。加入期間（保険料納付月数）そのものと、資格期間（免除等を含む）を混同しないことがポイント。
97,ライフプランニング,ライフイベント表に記載する内容として適切なのは？,イベントの時期・内容・必要資金（費用）,毎月の科目別支出の実績のみ,保有資産の評価額の推移のみ,保険の給付金請求手続きの手順,ライフイベント表は、結婚・住宅取得・進学・退職など将来の出来事を時系列に整理し、いつ何が起こり、いくら必要かを見える化するための表である。キャッシュフロー表と組み合わせて、資金不足の時期や必要な準備額を把握する。家計簿や資産一覧とは目的が異なるため、記載要素の違いを押さえる。
98,リスク管理,労災保険（労働者災害補償保険）の適用に関する説明として正しいのは？,雇用形態にかかわらず原則として労働者が対象になる,正社員だけが対象でパートは対象外,事業主と労働者が保険料を折半して負担する,加入は任意で会社が選択できる,労災保険は業務上・通勤途上の災害に備える制度で、原則として労働者であれば雇用形態にかかわらず適用される。保険料は原則として事業主が全額負担するため、雇用保険（労使負担）と対比して覚えると整理しやすい。加入は原則強制適用で任意ではない。
99,住宅ローン,団体信用生命保険（団信）の一般的な役割として正しいのは？,借入人が死亡や高度障害となった場合に残債を保険で弁済する,失業した場合に毎月の返済額を全額免除する,住宅の火災損害を補償して修繕費を支払う,金利上昇分を保険金で補填する,団信は住宅ローンに付帯されることが多く、借入人が死亡または所定の高度障害状態になったときに保険金でローン残高を返済（弁済）し、遺族に返済負担を残しにくくする目的がある。失業や火災、金利上昇といったリスクは別の制度や保険で備える領域である。
100,金融資産運用,一般に市場金利が上昇すると既発債券の価格はどうなる？,下落する,上昇する,変わらない,必ず額面に一致する,債券価格と市場金利は逆方向に動くのが基本。金利が上がると新たに発行される債券の利回りが相対的に有利になるため、固定利率の既発債券は魅力が下がり価格が下落しやすい。逆に金利が下がる局面では既発債券の相対価値が上がり価格が上昇しやすい。この関係はデュレーション等の理解にもつながる重要な基礎である。
101,相続,相続税における配偶者の税額軽減（配偶者控除）の非課税となる上限は？,法定相続分相当額または1億6,000万円のいずれか多い金額まで,一律で1億6,000万円まで,法定相続分相当額まで
